name,party,constituency,expenditure,provided_by_candidate,donations,contributions,shortfall,donations_from,position
Paula Bradshaw,Alliance,Belfast South,2378.41,0,0,0,2378.41,Sent invoice to party,2
Claire Hanna,SDLP,Belfast South,6160.88,0,2100,2100,4060.88,Party donation & individual(s),3
Claire Bailey,Green Party,Belfast South,7721.38,0,7827.43,7827.43,0,Party donation & individual(s),4
Emma Little Pengelly,DUP,Belfast South,5352,0,0,0,5352,Form stated they received no donations or self-funding,5
Christopher Stalford,DUP,Belfast South,7839.43,7839.43,0,7839.43,0,Self-funded,6
Gerry Carroll,People Before Profit Alliance,Belfast West,5347,0,1150,1150,4197,Gerry Carroll said he received a large number of donations under £50.  These are not required to be recorded on electoral return forms. He said this would cover the shortfall.,1
Alex Maskey,Sinn Féin,Belfast West,6379.94,0,6379.94,6379.94,0,Party donation,2
Pat Sheehan,Sinn Féin,Belfast West,6379.94,0,6379.94,6379.94,0,Party donation,3
Fra McCann,Sinn Féin,Belfast West,6637.94,0,6637.94,6637.94,0,Party donation,4
Jennifer McCann,Sinn Féin,Belfast West,6577.94,0,6577.94,6577.94,0,Party donation,5
Alex Atwood,SDLP,Belfast West,6721.36,0,6721.36,6721.36,0,Party donation,6
David Hilditch,DUP,East Antrim,6122.7,3333.5,2789.2,6122.7,0,Self-funded & party donation,1
Gordon Lyons,DUP,East Antrim,6639.27,4643.29,1995.98,6639.27,0,Self-funded & party donation,2
Roy Beggs,UUP,East Antrim,3406.86,3175.06,213.65,3388.71,18.15,Self-funded & party donation,3
Stewart Dickson,Alliance,East Antrim,2135.72,0,0,0,2135.72,Sent invoice to party,4
Alastair Ross,DUP,East Antrim,4953.12,3333.5,1619.62,4953.12,0,Self-funded & party donation,5
Oliver McMullan,Sinn Féin,East Antrim,3725.18,0,3725.18,3725.18,0,Party donation,6
Maurice Bradley,DUP,East Londonderry,4360.41,0,4360.41,4360.41,0,Party donation,1
George Robinson,DUP,East Londonderry,4564.11,0,4564.11,4564.11,0,Party donation,2
Adrian McQuillan,DUP,East Londonderry,3945.21,0,3945.21,3945.21,0,Party donation,3
Claire Sugden,Independent,East Londonderry,2805.2,2805.2,0,2805.2,0,Self-funded,4
Gerry Mullan,SDLP,East Londonderry,3740,0,3740,3740,0,Party donation,5
Caoimhe Archibald,Sinn Féin,East Londonderry,1891.91,0,1891.91,1891.91,0,Declared donation but no breakdown of where it came from,6
Arlene Foster,DUP,Fermanagh and South Tyrone,10177.12,0,10177.12,10177.12,0,Party donation & individual(s),1
Maurice Morrow,DUP,Fermanagh and South Tyrone,8507.42,0,8507.42,8507.42,0,Party donation & individual(s),2
Michelle Gildernew,Sinn Féin,Fermanagh and South Tyrone,3726.9,0,3726.9,3726.9,0,Party donation,3
Rosemary Barton,UUP,Fermanagh and South Tyrone,6543.51,0,6543.51,6543.51,0,Party donation,4
Seán Lynch,Sinn Féin,Fermanagh and South Tyrone,3495.59,0,3495.59,3495.59,0,Party donation,5
Richie McPhillips,SDLP,Fermanagh and South Tyrone,6026.8,0,0,0,6026.8,Form stated they received no donations or self-funding,6
Paul Givan,DUP,Lagan Valley,10012.92,6240.32,3772.6,10012.92,0,Self-funded & party donation,1
Trevor Lunn,Alliance,Lagan Valley,2861.49,0,0,0,2861.49,Sent invoice to party,2
Robbie Butler,UUP,Lagan Valley,3831.12,0,825,825,3006.12,Party donation & individual(s),3
Jenny Palmer,UUP,Lagan Valley,4913.76,4225.11,688.65,4913.76,0,Self-funded & donations from individual(s) & party,4
Edwin Poots,DUP,Lagan Valley,6930.47,3757.87,3172.6,6930.47,0,Self-funded & party donation,5
Brenda Hale,DUP,Lagan Valley,7081.81,4909.21,2172.6,7081.81,0,Self-funded & party donation,6
Jim Allister,TUV,North Antrim,3099.86,0,0,0,3099.86,Form stated they received no donations or self-funding,1
Paul Frew,DUP,North Antrim,5103.22,1000,5103.22,6103.22,0,Self-funded & party donation,2
Mervyn Storey,DUP,North Antrim,5503.52,1300,5503.52,6803.52,0,Self-funded & donations from individual(s) & party,3
Phillip Logan,DUP,North Antrim,8182.93,3011,8182.93,11193.93,0,Self-funded & donations from individual(s) & party,4
Robin Swann,UUP,North Antrim,5876.73,2500,200,2700,3176.73,Self-funded & donations from individual(s),5
Daithí McKay,Sinn Féin,North Antrim,2511.7,0,2511.7,2511.7,0,Party donation,6
Ian Milne,Sinn Féin,Mid Ulster,3417.35,0,3417.35,3417.35,0,Party donation,1
Patsy McGlone,SDLP,Mid Ulster,8162.82,0,8162.82,8162.82,0,Party donation,2
Michelle O'Neill,Sinn Féin,Mid Ulster,3417.35,0,3417.35,3417.35,0,Party donation,3
Linda Dillon,Sinn Féin,Mid Ulster,3417.35,0,3417.35,3417.35,0,Declared donation but inaccurate breakdown of where it came from,4
Sandra Overend ,UUP,Mid Ulster,3587.56,3587.56,213.65,3801.21,0,Self-funded & party donation,5
Keith Buchanan,DUP,Mid Ulster,2707.81,1626,0,1626,1081.81,Self-funded,6
